,med,med,med,med,med,med,med,med,med,med,med,med,med,params,params,params,params,params,params,params,game,game,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,agents,agents,agents,net,net,net,net,net,meta
,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,W1,W2,N,episode_n,beta,k,endOnStratConverge,t,s,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,coop_freq,payoff_mean,payoff_var,dd,heterogeneity,k_max,rewire_n,stop_n,timestamp
9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.736842155456543,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,340.796,"[ 0.  0.  3.  4.  4.  6.  7.  7.  6.  6.  7. 14.  8. 12. 15. 12. 12.  9.
 14. 13. 18. 12.  6. 14. 13. 13. 13. 17.  9. 12. 15. 10. 15. 11.  7.  4.
 13.  4.  6.  5.  5.  2.  7.  8.  1.  9.  4.  6.  7.  1.  7.  5.  3.  6.
  4.  5.  3.  4.  1.  3.  4.  2.  1.  3.  0.  0.  3.  1.  2.  3.  0.  0.
  0.  0.  0.  1.  1.  0.  0.  1.  0.  1.  1.  1.  0.  0.  0.  1.  1.  0.
  0.  0.  1.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  1.  1.]",340.79600000000005,116,24971,215000,Aug-18-2021_1618
10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.263157844543457,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,370.412,"[ 0.  3.  3.  3.  4.  9.  4.  9.  9. 14. 10. 12. 13.  7.  9. 11. 16. 12.
  9. 18.  7. 14. 15.  8. 11.  7.  9. 12. 13. 11. 10. 10.  7. 13. 11.  5.
  6.  8.  7.  5.  6.  5. 12. 10.  9.  4.  5.  3.  5.  9.  7.  2.  4.  3.
  4.  1.  1.  2.  1.  5.  2.  5.  0.  3.  3.  0.  0.  0.  1.  1.  2.  2.
  1.  0.  2.  3.  0.  0.  1.  1.  0.  0.  2.  0.  1.  1.  0.  0.  0.  1.
  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  2.  0.  0.  1.  1.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.]",370.41200000000003,118,30331,210000,Aug-18-2021_1618
11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.789473533630371,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,227.412,"[ 0.  0.  1.  0.  1.  1.  4.  4.  7.  8. 13.  9.  5.  8. 14. 13.  9. 14.
 16. 12. 17.  8. 16. 13. 13. 15. 14. 17.  6. 14. 14. 15.  8.  8. 12. 12.
  8.  7.  5.  8. 11. 12.  3.  4.  6.  8.  7. 15.  7.  3.  3.  5.  7.  4.
  4.  2.  6.  2.  0.  3.  1.  3.  3.  0.  1.  1.  0.  1.  1.  0.  0.  1.
  2.  0.  0.  0.  1.  2.  0.  0.  0.  1.  0.  0.  0.  1.]",227.41200000000003,85,17821,240000,Aug-18-2021_1618
12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.315789699554443,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,268.208,"[ 0.  0.  1.  4.  1.  4.  6.  4.  8.  9. 12. 11.  9.  7.  9.  8. 11. 13.
 14. 17. 16. 16. 13.  9. 13. 11. 18. 11. 12. 15. 10.  9. 12.  4. 11. 11.
  8.  6. 12. 11.  6.  8.  7.  7.  2.  6. 10.  1.  7.  2.  3.  5.  5.  6.
  2.  7.  1.  0.  3.  6.  3.  2.  3.  1.  1.  3.  0.  0.  2.  0.  2.  4.
  1.  4.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.]",268.2080000000001,85,16895,140000,Aug-18-2021_1618
13,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.842105388641357,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,285.544,"[ 0.  1.  1.  1.  3.  7.  8.  6.  9. 14. 11.  7. 10. 15.  5.  7. 14. 14.
  9.  9. 15.  7. 15. 10.  7. 11. 15. 11. 10. 16. 11.  9. 14. 12. 16. 10.
  9. 12. 14.  6.  5.  9.  4.  6.  4.  4.  6.  6.  7.  5.  0.  3.  3.  3.
  4.  3.  1.  6.  3.  1.  3.  2.  6.  2.  3.  3.  1.  0.  1.  3.  1.  0.
  2.  0.  1.  0.  2.  1.  1.  0.  1.  0.  0.  1.  1.  1.]",285.5440000000001,85,17454,200000,Aug-18-2021_1618
14,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3684210777282715,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,268.98,"[ 0.  0.  0.  0.  7.  9.  4.  5.  7. 10.  8.  7.  9. 10.  7. 13. 15. 12.
 15. 15. 16. 12. 16. 12.  9. 15. 13. 14.  8. 10. 12. 10.  9. 15.  6.  9.
  4.  8.  5. 10.  5.  4.  8.  7.  4.  9. 12.  5.  5.  5.  3.  5.  4.  2.
  7.  2.  4.  6.  3.  4.  3.  4.  1.  5.  4.  1.  2.  0.  2.  0.  2.  0.
  1.  1.  1.  1.  0.  0.  0.  1.  0.  0.  1.]",268.98,82,15296,130000,Aug-18-2021_1618
15,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8947367668151855,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,300.796,"[ 0.  0.  1.  4.  5.  8.  3.  5.  5.  8. 14.  7. 13. 12. 16. 14. 12. 15.
 15.  5. 14. 14. 15.  9. 12. 14. 10.  8. 14. 10. 11.  5.  8. 14.  7.  9.
  8.  8.  7. 10.  5.  5.  7.  8.  2.  5.  8.  5.  7.  3.  3.  3.  5.  5.
  3.  4.  3.  4.  2.  5.  2.  4.  5.  3.  2.  2.  1.  3.  3.  3.  0.  1.
  3.  1.  0.  1.  1.  2.  1.  0.  0.  0.  1.]",300.79600000000005,82,16829,155000,Aug-18-2021_1618
16,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.421052932739258,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,231.092,"[ 0.  1.  1.  1.  2.  3.  5.  5.  8.  7.  9.  8.  7. 11.  9. 17. 16. 12.
  7. 14. 19. 10. 15.  8. 12. 15. 15. 13. 13.  9.  8. 10. 14.  6. 13. 11.
  7.  5. 13.  2.  8.  6.  4.  4.  9. 12.  9.  5. 12.  9.  3.  5.  8.  4.
  8.  6.  1.  2.  4.  3.  4.  2.  2.  1.  3.  2.  0.  0.  0.  0.  0.  1.
  0.  0.  1.  0.  0.  0.  1.]",231.0920000000001,78,13320,140000,Aug-18-2021_1618
17,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.947368621826172,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,407.832,"[ 0.  0.  2.  1.  7. 12. 14.  6.  7. 10. 12.  7.  7. 19. 12. 19. 14.  6.
 10. 13. 12. 14. 15.  8. 13. 12. 20.  8. 11. 16.  4.  7.  4.  8.  9.  5.
  4.  7.  9.  9.  5.  2.  5.  7.  2.  8.  5.  3.  7.  2.  5.  5.  3.  5.
  3.  5.  1.  1.  1.  4.  2.  3.  3.  2.  4.  2.  0.  0.  3.  1.  2.  1.
  2.  0.  0.  2.  0.  0.  4.  0.  3.  2.  0.  0.  1.  0.  1.  1.  1.  1.
  1.  1.  0.  0.  0.  0.  0.  2.  0.  1.  0.  0.  1.  0.  0.  0.  1.]",407.8320000000001,106,20966,230000,Aug-18-2021_1618
18,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.473684310913086,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,316.288,"[ 0.  0.  1.  1.  1.  8. 11.  6. 13.  7.  7. 14.  8. 18. 11.  9. 17. 12.
 14. 16. 12. 10. 15.  8. 13.  8. 12. 10.  6.  8. 11. 11. 10.  8.  6. 11.
 10.  5.  8. 11.  8.  7.  9.  4.  4.  5.  4.  5.  6.  1.  4.  6.  7.  3.
  3.  3.  2.  2.  2.  5.  6.  3.  5.  3.  3.  3.  0.  2.  3.  1.  1.  0.
  3.  1.  1.  1.  0.  0.  2.  1.  0.  1.  1.  1.  0.  0.  0.  0.  0.  1.]",316.288,89,15766,170000,Aug-18-2021_1618
19,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,500,500000,0.004999999888241291,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,295.052,"[ 0.  0.  1.  2.  5.  6.  3.  5.  8. 12. 11. 13. 12. 12. 11.  9. 16. 18.
  9. 11. 11. 11. 14.  8. 15. 14. 17.  9. 10.  8.  9.  8.  7.  8. 14. 10.
  2.  8.  9.  9.  7. 10.  5.  4.  2.  8.  3.  7.  8.  7.  8.  4.  2.  3.
  4.  3.  2.  3.  7.  5.  2.  1.  0.  2.  3.  2.  4.  3.  5.  1.  0.  1.
  1.  4.  0.  1.  0.  0.  1.  0.  1.  0.  1.]",295.0519999999999,82,14805,130000,Aug-18-2021_1618
