,med,med,med,med,med,med,med,med,med,med,med,med,med,params,params,params,params,params,params,params,game,game,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,agents,agents,agents,net,net,net,net,net,meta,meds,ws,ts
,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,W1,W2,N,episode_n,beta,k,endOnStratConverge,t,s,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,coop_freq,payoff_mean,payoff_var,dd,heterogeneity,k_max,rewire_n,stop_n,timestamp,,,
9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.087,0.0,500,500000,0.005,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,381.032,"[ 0. 17. 10.  2.  3.  5. 11.  6.  8. 13.  7. 13. 13.  8.  5. 10.  7. 10.
 11. 15. 11.  7.  6. 10. 13.  8.  7. 12.  8. 15.  7.  9. 12. 10. 11.  9.
 11.  7.  3.  9.  7.  5.  7.  6.  9.  4.  9.  4.  6.  6.  4.  3.  3.  6.
  3.  5.  3.  3.  6.  1.  3.  2.  3.  2.  1.  2.  2.  2.  2.  1.  4.  2.
  3.  0.  1.  2.  0.  0.  1.  0.  0.  1.  1.  1.  1.  0.  0.  0.  0.  0.
  0.  1.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.
  0.  1.]",381.032,109,55553,370000,Aug-19-2021_1506,"('NO_MED',)","(2.087, 0.0)","(2.0, -1.0)"
10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.291,0.0,500,500000,0.005,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[  0. 235.  23.   6.   1.   2.   2.   0.   2.   1.   2.   3.   1.   1.
   0.   3.   0.   1.   3.   0.   0.   3.   1.   1.   1.   3.   3.   2.
   4.   2.   1.   1.   0.   1.   2.   2.   1.   3.   4.   1.   2.   1.
   4.   0.   3.   6.   5.   2.   1.   1.   3.   2.   3.   3.   0.   7.
   4.   3.   2.   1.   2.   1.   1.   1.   1.   2.   0.   5.   2.   2.
   5.   1.   3.   3.   7.   4.   3.   4.   1.   3.   2.   4.   3.   3.
   2.   0.   4.   3.   3.   3.   3.   4.   1.   3.   2.   3.   0.   2.
   1.   2.   0.   2.   2.   2.   3.   1.   1.   2.   0.   2.   2.   0.
   2.   0.   0.   0.   3.   1.   0.   0.   0.   0.   0.   0.   1.   1.
   0.   0.   0.   0.   0.   0.   0.   1.]",1347.068,133,139115,400000,Aug-19-2021_1506,"('NO_MED',)","(2.291, 0.0)","(2.0, -1.0)"
11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.495,0.0,500,500000,0.005,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.318,5.954,359.824,"[  0. 202.  33.  10.   4.   2.   2.   4.   0.   2.   3.   0.   1.   0.
   2.   2.   3.   1.   1.   2.   2.   4.   3.   4.   2.   1.   2.   1.
   0.   3.   1.   0.   1.   4.   0.   3.   2.   3.   3.   2.   3.   3.
   3.   4.   2.   7.   1.   4.   1.   1.   1.   2.   4.   3.   5.   4.
   2.   4.   4.   6.   2.   4.   1.   3.   2.   7.   3.   8.   2.   3.
   4.   4.   0.   3.   4.   2.   3.   5.   1.   0.   2.   2.   0.   2.
   3.   5.   1.   4.   2.   1.   1.   2.   4.   2.   2.   2.   2.   4.
   2.   0.   2.   1.   0.   1.   0.   3.   0.   1.   0.   0.   0.   1.
   0.   0.   0.   0.   1.   1.   0.   0.   2.   0.   0.   0.   1.   0.
   0.   0.   1.   0.   0.   1.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   0.   1.]",1234.904,160,148697,499999,Aug-19-2021_1506,"('NO_MED',)","(2.495, 0.0)","(2.0, -1.0)"
12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.699,0.0,500,500000,0.005,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,109.184,"[ 0.  0.  0.  0.  0.  1.  0.  1.  3.  2.  6.  2.  3.  3.  9.  7. 10.  7.
 11. 12. 13. 16. 19. 14. 20. 20. 14. 22. 18. 21. 26. 12. 11. 22. 19. 11.
 15. 24.  7. 10.  9.  9.  7. 11.  2.  8.  6.  4.  5.  8.  3.  4.  0.  3.
  1.  3.  2.  1.  1.  1.  0.  0.  0.  1.]",109.184,63,12178,200000,Aug-19-2021_1506,"('NO_MED',)","(2.699, 0.0)","(2.0, -1.0)"
13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.903,0.0,500,500000,0.005,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,241.228,"[ 0.  0.  2.  1.  0.  4.  4.  5.  4.  5.  9. 14.  9.  8.  6.  7. 21. 13.
 18. 15.  8.  9. 11. 14. 14. 15. 15. 13. 11. 15. 12.  9. 11. 13. 15. 11.
 11. 15. 19.  3.  8. 10.  4.  7.  7.  6.  2.  2.  5.  5.  6.  3.  2.  5.
  8.  2.  1.  1.  1.  1.  3.  1.  3.  1.  1.  0.  3.  1.  0.  0.  0.  3.
  0.  0.  1.  0.  1.  0.  1.  3.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  1.  0.  0.  0.  0.  1.]",241.228,99,22533,175000,Aug-19-2021_1506,"('NO_MED',)","(2.903, 0.0)","(2.0, -1.0)"
14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.107,0.0,500,500000,0.005,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.874,25.73,641.481,"[ 0. 41. 12. 11. 13. 11.  8.  4. 10.  9.  9. 11.  6. 12. 13. 11.  5.  8.
 12.  7. 14. 11.  9. 10.  4.  6.  8.  8.  8.  7.  6.  4.  4. 10.  8.  4.
  5.  4.  3.  7.  6.  6.  9.  3.  4.  5.  6.  4.  3.  4.  5.  4.  6.  4.
  5.  0.  2.  3.  3.  1.  3.  5.  1.  3.  2.  2.  2.  0.  1.  3.  4.  0.
  1.  2.  2.  1.  0.  3.  0.  1.  2.  1.  2.  2.  0.  2.  1.  0.  0.  1.
  3.  0.  1.  1.  0.  0.  2.  0.  0.  0.  1.  1.  0.  0.  0.  1.  1.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  1.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  1.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  1.]",734.592,202,81608,499999,Aug-19-2021_1507,"('NO_MED',)","(3.107, 0.0)","(2.0, -1.0)"
15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.311,0.0,500,500000,0.005,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,269.528,"[ 0.  1.  0.  0.  1.  6.  5.  5.  4.  7. 10. 10. 10. 14. 18. 10. 18. 10.
 11. 14.  9. 13. 10. 17. 11. 19. 15. 12. 11.  9.  7.  9. 10. 10.  8. 12.
 13.  4.  9.  6.  8.  9.  8.  7. 10.  7.  4.  6.  3.  6.  6.  5.  3.  4.
  4.  5.  4.  5.  2.  2.  3.  1.  1.  3.  2.  1.  0.  0.  0.  1.  2.  3.
  0.  0.  2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  0.  0.
  0.  0.  0.  0.  0.  1.  1.  0.  0.  1.]",269.528,99,23538,230000,Aug-19-2021_1507,"('NO_MED',)","(3.311, 0.0)","(2.0, -1.0)"
16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.515,0.0,500,500000,0.005,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,29.774,644.159,"[ 0. 44. 22. 14.  3. 15. 10. 11.  8.  7.  7.  9.  4. 10. 10.  5.  6.  5.
  8.  6.  9.  7. 12. 10.  7. 10.  5. 13.  5.  7.  9.  3.  6.  7.  7. 11.
  7.  6.  5.  8.  5.  4.  3.  5.  4.  2.  2.  4.  2.  5.  0.  0.  5.  4.
  8.  4.  6.  3.  1.  3.  2.  4.  1.  3.  1. 13.  3.  1.  1.  3.  2.  2.
  0.  1.  1.  3.  1.  0.  1.  2.  2.  1.  1.  2.  0.  1.  1.  1.  2.  1.
  1.  0.  1.  3.  1.  0.  0.  0.  0.  0.  1.  0.  2.  0.  0.  1.  1.  0.
  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  1.  0.  1.  0.  0.  1.]",665.012,133,77492,499999,Aug-19-2021_1507,"('NO_MED',)","(3.515, 0.0)","(2.0, -1.0)"
17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.719,0.0,500,500000,0.005,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,137.156,"[ 0.  0.  0.  0.  0.  1.  1.  0.  2.  2.  5.  5.  5. 13.  7. 10. 11. 13.
 19. 14. 15. 17. 11. 18. 16. 12. 11. 17. 15. 14. 15. 11. 22. 12. 14. 14.
 14. 12. 12.  6. 14. 13.  6.  6. 13.  9.  7.  4.  5.  5.  4.  6.  3.  1.
  5.  3.  3.  1.  2.  3.  0.  0.  1.]",137.156,62,13365,175000,Aug-19-2021_1507,"('NO_MED',)","(3.719, 0.0)","(2.0, -1.0)"
18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.923,0.0,500,500000,0.005,30,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,290.94,"[ 0.  2.  1.  1.  0.  7.  8.  6.  6.  6.  8. 16.  9. 12. 12. 12. 11.  7.
 15. 10. 16. 14. 15. 10.  9. 17. 14. 21.  8. 12.  8. 10.  8. 14. 11. 11.
  5.  7.  7.  9.  9.  8.  5.  7.  2.  7.  2.  3.  4.  4.  9.  9.  2.  4.
  3.  4.  0.  2.  2.  5.  2.  2.  3.  1.  1.  1.  3.  2.  3.  1.  1.  2.
  2.  0.  1.  0.  1.  0.  1.  3.  0.  0.  1.  0.  2.  0.  0.  0.  0.  0.
  0.  1.]",290.94,91,26137,260000,Aug-19-2021_1507,"('NO_MED',)","(3.923, 0.0)","(2.0, -1.0)"
