,,,med,med,med,med,med,med,med,med,med,med,med,med,med,params,params,params,params,params,params,game,game,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,agents,agents,agents,net,net,net,net
,,,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,W2,N,episode_n,beta,k,endOnStratConverge,t,s,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,coop_freq,payoff_mean,payoff_var,heterogeneity,k_max,rewire_n,stop_n
ts,"('params', 'W1')",meds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1.0, -0.667)",0.0,"('NO_MED',)",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1000000.0,0.005000000000000002,30.0,True,1.0,-0.6670000000000003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,110000.0
"(1.0, -0.333)",0.0,"('NO_MED',)",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1000000.0,0.005000000000000002,30.0,True,1.0,-0.33300000000000013,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3.0,0.0,0.0,30.0,0.0,189166.66666666666
"(1.0, 0.0)",0.0,"('NO_MED',)",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1000000.0,0.005000000000000002,30.0,True,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,10.0,0.0,0.0,30.0,0.0,401166.6666666667
"(1.0, 0.333)",0.0,"('NO_MED',)",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1000000.0,0.005000000000000002,30.0,True,1.0,0.33300000000000013,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,0.0,0.0,30.0,0.0,285333.3333333333
"(1.0, 0.667)",0.0,"('NO_MED',)",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1000000.0,0.005000000000000002,30.0,True,1.0,0.6670000000000003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,0.0,0.0,30.0,0.0,236333.33333333334
"(1.0, 1.0)",0.0,"('NO_MED',)",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1000000.0,0.005000000000000002,30.0,True,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,0.0,0.0,30.0,0.0,163833.33333333334
"(1.333, -1.0)",0.0,"('NO_MED',)",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1000000.0,0.005000000000000002,30.0,True,1.332999999999999,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,72833.33333333333
"(1.333, -0.667)",0.0,"('NO_MED',)",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1000000.0,0.005000000000000002,30.0,True,1.332999999999999,-0.6670000000000003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,91333.33333333333
"(1.333, -0.333)",0.0,"('NO_MED',)",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1000000.0,0.005000000000000002,30.0,True,1.332999999999999,-0.33300000000000013,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,126833.33333333333
"(1.333, 0.0)",0.0,"('NO_MED',)",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1000000.0,0.005000000000000002,30.0,True,1.332999999999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,300333.3333333333
"(1.333, 0.333)",0.0,"('NO_MED',)",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1000000.0,0.005000000000000002,30.0,True,1.332999999999999,0.33300000000000013,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4082666666666668,14.388866666666665,4.460400000000001,0.0,30.0,0.0,772166.1
"(1.333, 0.667)",0.0,"('NO_MED',)",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1000000.0,0.005000000000000002,30.0,True,1.332999999999999,0.6670000000000003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9562,29.392400000000002,1.4560333333333335,0.0,30.0,0.0,592166.5
"(1.333, 1.0)",0.0,"('NO_MED',)",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1000000.0,0.005000000000000002,30.0,True,1.332999999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9712666666666666,29.762,1.4823333333333333,0.0,30.0,0.0,436833.26666666666
"(1.667, -1.0)",0.0,"('NO_MED',)",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1000000.0,0.005000000000000002,30.0,True,1.6670000000000011,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,63833.333333333336
"(1.667, -0.667)",0.0,"('NO_MED',)",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1000000.0,0.005000000000000002,30.0,True,1.6670000000000011,-0.6670000000000003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,78166.66666666667
"(1.667, -0.333)",0.0,"('NO_MED',)",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1000000.0,0.005000000000000002,30.0,True,1.6670000000000011,-0.33300000000000013,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,116500.0
"(1.667, 0.0)",0.0,"('NO_MED',)",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1000000.0,0.005000000000000002,30.0,True,1.6670000000000011,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,226166.66666666666
"(1.667, 0.333)",0.0,"('NO_MED',)",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1000000.0,0.005000000000000002,30.0,True,1.6670000000000011,0.33300000000000013,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12266666666666667,5.900133333333333,5.551399999999999,0.0,30.0,0.0,744999.5333333333
"(1.667, 0.667)",0.0,"('NO_MED',)",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1000000.0,0.005000000000000002,30.0,True,1.6670000000000011,0.6670000000000003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5734666666666668,25.46070000000001,12.156366666666667,0.0,30.0,0.0,965999.1
"(1.667, 1.0)",0.0,"('NO_MED',)",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1000000.0,0.005000000000000002,30.0,True,1.6670000000000011,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7352666666666667,29.72453333333333,12.785266666666667,0.0,30.0,0.0,900999.1666666666
"(2.0, -1.0)",0.0,"('NO_MED',)",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1000000.0,0.005000000000000002,30.0,True,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,65333.333333333336
"(2.0, -0.667)",0.0,"('NO_MED',)",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1000000.0,0.005000000000000002,30.0,True,2.0,-0.6670000000000003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,68000.0
"(2.0, -0.333)",0.0,"('NO_MED',)",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1000000.0,0.005000000000000002,30.0,True,2.0,-0.33300000000000013,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,105833.33333333333
"(2.0, 0.0)",0.0,"('NO_MED',)",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1000000.0,0.005000000000000002,30.0,True,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,143500.0
"(2.0, 0.333)",0.0,"('NO_MED',)",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1000000.0,0.005000000000000002,30.0,True,2.0,0.33300000000000013,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.3741333333333333,0.5309333333333334,0.0,30.0,0.0,331499.9666666667
"(2.0, 0.667)",0.0,"('NO_MED',)",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1000000.0,0.005000000000000002,30.0,True,2.0,0.6670000000000003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2661333333333333,15.764466666666666,17.98923333333333,0.0,30.0,0.0,914665.8666666667
"(2.0, 1.0)",0.0,"('NO_MED',)",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1000000.0,0.005000000000000002,30.0,True,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5124,28.311200000000003,20.055866666666667,0.0,30.0,0.0,960999.0666666667
