,med,med,med,med,med,med,med,med,med,params,params,params,params,game,game,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,agents,agents,agents,net,net,net,net,meds,ws,timestamp
,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,W1,W2,N,episode_n,t,s,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,coop_freq,payoff_mean,payoff_var,heterogeneity,k_max,rewire_n,stop_n,,,
15,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.452,13.414,923.962604,43.53200000000004,57,55279,999999,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(3.0, 3.0)",Jun-24-2021_1504
16,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.5,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,72.29600000000005,65,93118,500000,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(0.5, 0.5)",Jun-24-2021_1504
17,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,72.77599999999995,57,120805,920000,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(0.5, 1.0)",Jun-24-2021_1504
18,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,2.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,61.591999999999985,61,21247,265000,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(0.5, 2.0)",Jun-24-2021_1504
19,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,3.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,44.940000000000055,55,25264,445000,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(0.5, 3.0)",Jun-24-2021_1504
20,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.684,20.77,913.6971000000001,109.75999999999999,67,107549,999999,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(1.0, 0.5)",Jun-24-2021_1504
21,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,58.69200000000001,54,67550,445000,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(1.0, 1.0)",Jun-24-2021_1504
22,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,48.27200000000005,49,35036,340000,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(1.0, 2.0)",Jun-24-2021_1504
23,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.536,16.664,1090.7671039999998,121.16399999999999,70,40985,999999,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(1.0, 3.0)",Jun-24-2021_1504
24,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.5,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,30.0,109.156,109.15599999999995,66,39721,670000,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(2.0, 0.5)",Jun-24-2021_1504
25,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.156,0.844,0.0,0.0,0.318,9.99,904.3138999999999,93.72799999999995,66,179276,999999,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(2.0, 1.0)",Jun-24-2021_1504
26,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.014,0.39,44.185900000000004,48.860000000000014,51,142605,999999,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(2.0, 2.0)",Jun-24-2021_1504
27,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.938,28.324,317.099024,114.20399999999995,64,31695,999999,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(2.0, 3.0)",Jun-24-2021_1504
28,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.5,500,1000000,-1.0,2.0,0.93,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,1.0,30.0,148.56,148.55999999999995,76,23528,999999,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(3.0, 0.5)",Jun-24-2021_1504
29,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,30.0,107.464,107.46400000000006,65,29740,865000,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(3.0, 1.0)",Jun-24-2021_1504
