,med,med,med,med,med,med,med,med,med,params,params,params,params,game,game,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,agents,agents,agents,net,net,net,net
,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,W1,W2,N,episode_n,t,s,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,coop_freq,payoff_mean,payoff_var,heterogeneity,k_max,rewire_n,stop_n
910,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.722,22.168,804.3237760000001,84.10400000000004,70,999999,0.0
920,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.5,500,1000000,-1.0,2.0,0.662,0.0,0.0,0.0,0.0,0.0,0.0,0.338,0.0,1.0,30.0,130.248,130.24800000000005,67,999999,0.0
930,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,30.0,129.076,129.07600000000002,71,620000,0.0
940,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,30.0,130.048,130.048,71,465000,0.0
950,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.868,0.0,0.132,0.0,0.882,26.798,487.6251960000001,122.51199999999994,64,999999,0.0
960,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.292,9.458,980.168236,140.46000000000004,73,999999,0.0
970,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,1.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.42,12.69,1036.2139,133.0039999999999,75,999999,0.0
980,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,2.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.512,15.552,1037.903296,107.39599999999996,79,999999,0.0
990,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,3.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.218,7.236,869.3403040000001,165.89599999999996,75,999999,0.0
1000,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.528,16.522,1074.773516,123.12400000000002,66,999999,0.0
1010,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.422,13.392,1124.0703360000002,160.74,71,999999,0.0
1020,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,61.091999999999985,56,435000,0.0
1030,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.398,12.666,1113.7024440000002,140.6479999999999,74,999999,0.0
1040,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.5,500,1000000,-1.0,2.0,0.728,0.0,0.0,0.0,0.0,0.272,0.0,0.0,0.0,1.0,30.0,133.02,133.01999999999998,69,999999,0.0
1050,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.802,24.384,666.912544,86.404,60,999999,0.0
1060,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,30.0,105.44,105.44000000000005,67,780000,0.0
1070,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,30.0,95.828,95.82799999999997,71,980000,0.0
1080,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.5,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.33,0.0,1.0,30.0,106.372,106.37199999999996,61,999999,0.0
1090,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,30.0,165.608,165.60799999999995,80,535000,0.0
1100,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.96,29.006,233.661964,112.01999999999998,72,999999,0.0
1110,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,30.0,92.144,92.144,57,490000,0.0
1120,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.442,0.0,0.0,0.558,0.332,10.338,963.143756,144.7840000000001,72,999999,0.0
1130,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,1.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.332,10.43,982.2810999999998,140.5,68,999999,0.0
1140,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,2.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.27,8.358,868.5978359999999,125.59999999999991,66,999999,0.0
1150,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,3.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,65.60400000000004,67,760000,0.0
1160,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.5,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,66.13199999999995,59,885000,0.0
1170,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.724,22.196,858.5215840000001,108.17200000000003,62,999999,0.0
1180,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.662,20.35,925.3235,97.53599999999994,64,999999,0.0
1190,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,500,1000000,-1.0,2.0,0.166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.834,0.0,0.0,0.0,177.61200000000008,83,999999,0.0
1200,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.5,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,30.0,126.34,126.33999999999992,71,370000,0.0
1210,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.826,24.998,634.249996,107.32399999999996,70,999999,0.0
1220,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.854,25.886,563.481004,105.80799999999999,82,999999,0.0
1230,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,500,1000000,-1.0,2.0,0.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.768,0.522,15.768,1037.3901759999999,131.8599999999999,77,999999,0.0
1240,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.5,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,30.0,94.936,94.93600000000004,65,680000,0.0
1250,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,500,1000000,-1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,178.18,178.18000000000006,79,440000,0.0
1260,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,30.0,133.956,133.9559999999999,65,615000,0.0
1270,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,500,1000000,-1.0,2.0,0.286,0.0,0.0,0.0,0.0,0.714,0.0,0.0,0.0,0.896,27.336,535.2031039999999,206.29600000000005,92,999999,0.0
1280,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.258,8.492,927.101936,151.7159999999999,74,999999,0.0
1290,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,1.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.314,0.0,0.0,0.686,0.052,1.662,226.407756,131.37200000000007,72,999999,0.0
1300,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,2.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.444,13.858,1084.6858359999999,123.952,72,999999,0.0
1310,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,3.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.552,16.654,1081.682284,142.46800000000007,73,999999,0.0
1320,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.5,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,57.476,52,340000,0.0
1330,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.742,22.508,818.533936,107.30799999999999,67,999999,0.0
1340,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.774,23.336,770.9951040000001,120.12,67,999999,0.0
1350,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.708,21.522,826.809516,81.53200000000004,63,999999,0.0
1360,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.5,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.614,0.0,0.0,0.386,1.0,30.0,111.676,111.67600000000004,85,999999,0.0
1370,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,500,1000000,-1.0,2.0,0.178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.822,1.0,30.0,124.76,124.75999999999999,72,999999,0.0
1380,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.88,26.33,530.2731,125.88000000000011,67,999999,0.0
1390,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.36,11.22,874.2196000000001,62.827999999999975,64,999999,0.0
1400,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.5,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.594,0.0,0.0,0.406,1.0,30.0,131.32,131.31999999999994,86,999999,0.0
1410,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,30.0,150.64,150.6400000000001,81,685000,0.0
1420,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,30.0,75.0,75.0,55,575000,0.0
1430,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,30.0,135.256,135.25600000000009,73,980000,0.0
1440,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,78.28399999999999,66,825000,0.0
1450,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,1.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,63.78399999999999,61,200000,0.0
1460,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,2.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.08000000000004,51,460000,0.0
1470,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,3.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.364,11.318,1038.292876,146.27600000000007,70,999999,0.0
1480,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.5,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.486,15.626,1099.402124,115.10400000000004,70,999999,0.0
1490,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.55,16.834,1032.242444,100.11199999999997,73,999999,0.0
1500,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.598,18.386,1014.765004,112.02800000000002,63,999999,0.0
1510,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.31,9.466,839.996844,85.81600000000003,62,999999,0.0
1520,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.5,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,24.476,610.0974239999999,68.08399999999995,59,999999,0.0
1530,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,30.0,108.908,108.90800000000002,64,825000,0.0
1540,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.906,27.228,420.312016,97.24800000000005,70,999999,0.0
1550,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.81,24.568,700.381376,123.54399999999998,67,999999,0.0
1560,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.5,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,30.0,114.7,114.70000000000005,61,920000,0.0
1570,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,30.0,139.26,139.26,76,370000,0.0
1580,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,30.0,100.612,100.61199999999997,70,530000,0.0
1590,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.902,27.202,391.213196,78.56799999999998,63,999999,0.0
1600,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.37,0.0,0.0,0.0,0.0,56.428,53,999999,0.0
1610,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,1.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,55.30799999999999,50,480000,0.0
1620,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,2.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,59.611999999999966,50,550000,0.0
1630,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,3.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,289.44399999999996,84,810000,0.0
1640,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.5,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,71.85199999999998,58,170000,0.0
1650,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,48.823999999999955,49,410000,0.0
1660,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,139.01999999999998,69,580000,0.0
1670,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,51.323999999999955,53,960000,0.0
1680,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.5,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.526,0.474,0.0,0.0,0.0,0.0,54.572,54,999999,0.0
1690,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,55.13599999999997,49,525000,0.0
1700,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.012,0.452,71.663696,58.583999999999946,63,999999,0.0
1710,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.94,28.268,271.93617600000005,68.76800000000003,65,999999,0.0
1720,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.5,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,30.0,101.12,101.12,60,565000,0.0
1730,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,30.0,114.668,114.668,91,660000,0.0
1740,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,500,1000000,-1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,28.886,605.0770040000001,444.41599999999994,122,999999,0.0
1750,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.84,25.212,611.4950560000001,108.37199999999996,66,999999,0.0
1760,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,67.03200000000004,53,315000,0.0
1770,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,1.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.802,0.198,0.0,0.0,0.0,0.0,49.620000000000005,54,999999,0.0
1780,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,2.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,47.932000000000016,50,285000,0.0
1790,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,3.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,47.78800000000001,50,505000,0.0
1800,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.5,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.39,0.0,0.0,0.0,0.0,53.639999999999986,53,999999,0.0
1810,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,54.17999999999995,51,610000,0.0
1820,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,54.75599999999997,49,425000,0.0
1830,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.088,2.694,318.1283639999999,58.903999999999996,53,999999,0.0
1840,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.5,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,49.71199999999999,50,675000,0.0
1850,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.21,6.736,715.802304,74.31600000000003,63,999999,0.0
1860,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,57.476,51,825000,0.0
1870,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,56.988000000000056,52,575000,0.0
1880,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.5,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,51.928,51,960000,0.0
1890,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.38,0.0,0.236,7.308,708.8691360000001,45.908000000000015,52,999999,0.0
1900,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,54.51599999999996,52,540000,0.0
1910,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.938,28.368,295.576576,103.17600000000004,58,999999,0.0
1920,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.992,0.008,0.0,0.0,0.0,0.0,57.92399999999998,51,999999,0.0
1930,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,1.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,63.74000000000001,61,335000,0.0
1940,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,2.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,64.45600000000002,52,430000,0.0
1950,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,3.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,55.71600000000001,49,530000,0.0
1960,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.5,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.802,0.198,0.0,0.0,0.0,0.0,55.29600000000005,47,999999,0.0
1970,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,55.403999999999996,55,585000,0.0
